Kocaeli;(31. Yarış Günü);20/08/2026
1. Kosu :   17.15;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.23.67
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;SİGUEME SK;3y d  e;MENDIP (USA);AMAZON QUEEN;59,5;K.YILMAZ AP;GÜLİZAR YANIK;M.DOLAK;7;%3.96(4);55;K8K8K3K5K8K6;7;13;1:27.97
2;DİPLOMAT ZAFER DB SK;3y d  e;ULAN BATOR;AKYAZILI HANDE;61,5;A.YILDIZ;SABRİ ALTIN;G.TAŞDELEN;6;%23.21(2);55;S0K5K5K3K1K2;7;19;1:27.03
3;EL REY ESCORPİON SK;3y d  e;PAPA CLEM (USA);KILL BILL;59,5;M.A.AKGÖBEK;SEMİH KATI;M.DOLAK;3;%2.2(7);51;S7Ç7K4Ç6K7K6;7;10;1:28.18
4;GECENİN GÜCÜ DB SK;3y d  e;AGRESIVO (USA);ANGEL OF JUSTICE;56;K.TOKAÇOĞLU;SEDAT YILDIZ;SEN.ŞEN;1;%34.33(1);44;S3-K3K1K2;12;19;1:28.52
5;HIGH HILLS DB SK YP;3y d  d;TILSIT (USA);LADY CHINA;55,5;T.YILDIZ;C.TAHİR BURHANLIOĞLU;N.ESEN;4;%3.06(6);43;Ç7K4K3K2K4K7;16;16;1:30.51
6;LADYBIRD KG;3y d  d;KLIMT (USA);KRALİÇE HERA;54;O.YILDIZ;Ö.ŞAHİN EĞİLLİ;E.USLU;9 - DS;%3.88(5);40;S1S5Ç8Ç7Ç0K3;14;15;1:29.60
7;MISS CALIFORNIA KG K;3y d  d;SUPER SAVER (USA);AMERICAN BILLION;54;B.BEKTAŞ;EMRAH ORHAN;S.BEKTAŞ;10 - DS;%1.47(9);40;K8K2K2K1K7K8;21;18;1:29.36
8;BLUE STAR KG K DB;3y d  e;BLUEGRASS CAT (USA);YILDIZ AYAK;53,5;G.ÖZÇELİK;KEMAL A. TURAN;HÜS.ÇAKMAK;5;%1.85(8);39;Ç4-S0Ç0K1K7S9;15;18;
9;LEGACY OF HENRY KG SK;3y d  e;RUNHAPPY* (USA);SKY MIRAGE (USA);52;O.ATMACA;OKTAY OHCAK;C.TURAN;8;%16.29(3);36;K3K2S7K3K2K4;7;16;1:28.69
10;PANCHO SK ÖG;3y d  e;KANEKO;SALAMIS;55;E.AKPINAR AP;GÜLİZAR YANIK;M.DOLAK;2;%9.74(4);48;Ç7Ç9K9K6K4K3;9;12;1:27.86
[(1)SİGUEME,(10)PANCHO,] eküridir.1. 6'LI GANYAN Bu koşudan başlar;1. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

2. Kosu :   17.45;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.33.64
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;KIZILKULE DB SKG SK;3y a  d;ENDEREFE;BAHTİSER;61;M.T.COŞKUN AP;İREM NUR KAYA;RAM. KAYA;6;%17.33(2);34;K2K6K2K5K2K7;9;17;1:43.97
2;ZORLU HAYAT KG K;3y a  d;SERDÜMEN;KUTLU KIZ;59;R.KETME AP;İ.SUAT KUTLU;R.A.TEKELİ;2;%26.53(1);32;Ç8K4K2K2Ç5K3;7;17;1:40.91
3;ALCANZAR KG K GKR;3y k  d;FATİH AĞA;ASPURÇE;57;B.AKÇAY;ZAFER TEMUÇİN;Z.TEMUÇİN;8;%5.53(7);;S7Ç0;13;18;
4;BELUÇA KG DB SK;3y d  d;GELİBOLU;GİZEMNAZ;57;G.ÖZÇELİK;M. BURAK TINAZ;E.KARACA;3;%16.23(3);;K4;14;19;
5;GELEVRİ KIZ KG K DB;3y k  d;BALTACI;DİLACAN;53;U.LEVENT AP;BİLAL AVCI;T.ATEŞ;13;%0.61(12);9;S0S0Ç0;20;17;
6;GÜL MEVSİMİ DB;3y k  d;GÜNTAY;ANCELİNA;53;R.YILDIZ AP;AHMET ŞAHİN;M.A.KAYA;12;%0.36(13);12;K6Ç9K8Ç0Ç0;20;15;
7;GÜLGÜLAY KG SK;3y a  d;YILMABAŞAR;CAVİDANHANIM;54;İ.GÜREKE AP;İREM NUR KAYA;RAM. KAYA;10;%1.22(2);25;K3K9K0K5K6;7;15;1:43.09
8;GÜLSENEM SKG SK;3y k  d;BERKSOY;BEKRİYE;57;A.YILDIZ;MURAT YAYIK;Y.BAYSAL;7;%7.34(5);;S4Ç9;19;18;
9;KARA ALEV KG;3y k  d;ÖZGÜNHAN;RAZİYE;53;R.KURT AP;BEŞİR KAYA;RAM. KAYA;11;%8.76(4);22;K7Ç8K4;9;17;
10;KINALIKAYAM KG DB SK;3y a  d;GÜMBÜRGÜMBÜR;KINALI SULTAN;53;S.YAZICIOĞLU AP;İBRAHİM KAYA;RAM. KAYA;5;%5.51(8);22;K7Ç5K4;9;17;
11;LEYLA REİS KG K DB;3y a  d;KUTUP;NURSOLMAZ;55;E.AKPINAR AP;UĞUR DEMİREL;İ.CANPOLAT;14;%0.25(14);9;Ç0K0Ç9;20;17;
12;MENESSAL K GKR;3y k  d;GELİBOLU;ÖZ NURAY;57;M.A.AKGÖBEK;HASAN ARSLAN;S.POLAT;15;%1.13(10);;Ç6K6;49;18;
13;NİLÜFER KG SK;3y a  d;YAŞARCIK;KAFKAS FİLİZİ;57;T.YILDIZ;BORA YILDIZ;C.TURAN;1;%1.12(11);;K7K8;70;18;
14;TURQUOİSE KG K;3y a  d;FATİH AĞA;RÜZGARIN İZİ;54;K.YILMAZ AP;EMRAH AKYAVUZ;B.ÇAPKIN;9;%1.67(9);25;K9K6Ç0K3Ç0;20;15;
15;UYGURKIZI KG SK;3y k  d;ÖZDURAN;SAKIZAĞACI;55;M.ÇELİK AP;ALİ KAYA;M.A.KAYA;4;%6.42(6);26;K2K8Ç0K7K4;7;15;
[(1)KIZILKULE,(7)GÜLGÜLAY,] eküridir.1. 5'Lİ GANYAN;2. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;PLASE;PLASE İKİLİ;SIRALI 5 Lİ BAHİS;TABELA BAHİS;TABELA BAHİS SIRASIZ;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

3. Kosu :   18.30;SATIŞ 2; 2 Yaşlı İngilizler; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.23.67
İkramiye;;;;;Yetiştirici Primi;;;;
1.)445.000 TL;2.)178.000 TL;3.)89.000 TL;4.)44.500 TL;5.)22.250 TL;1.)133.500 TL;2.)53.400 TL;3.)26.700 TL;4.)13.350 TL;5.)6.675 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;DRAGON VICTORY SK;2y d  e;KLIMT (USA);NO DELUSION (USA);57;B.AKÇAY;HASAN KARAKEÇİ;N.KAYA;6 - DS;%69.02(1);51;K6K1K1K1K4K5;14;18;1:30.45
2;KUZGUN GÖKMEN KG DB SK;2y a  e;ULAN BATOR;MAKARON;57;BERK.GÖKÇE AP;FATMA YEMEZ;AT.GÖKÇE;2;%1.76(5);;Ç0Ç6;11;18;
3;PUYOL KG K;2y d  e;SUPER ALP (USA);BULLSEYE;56;N.AVCİ;MAHMUT MELİH KILIÇ;TU.TURAN;5 - DS;%19.95(2);41;K2K3K3K1K3K5;12;18;1:32.48
4;KOCA ÖMER KG SK;2y d  e;AZARAKS;TURF QUEEN;55;S.ÖZEN;EMRE KOCAMAN;T.ATAÇ;3;%1.79(4);23;K3K4K6;9;17;1:33.24
5;VENENO SK;2y a  d;SUPER SAVER (USA);LADY TULPAR;55;M.A.AKGÖBEK;GÜLİZAR YANIK;M.DOLAK;4;%7.07(3);44;Ç4K3K3Ç3Ç5K4;7;17;
6;ŞEVRAN KG DB SK;2y a  e;GRAYSTORM;MARATONCU KIZ;53;HA.GÖKÇE AP;HASAN YAVUZEL;Y.C. KARATOPRAK;1;%0.41(6);9;Ç8K7Ç0K7;24;16;
7'Lİ PLASE;7'Lİ GANYAN;1. 3'LÜ GANYAN;3. ÇİFTE Bu koşudan başlar;GANYAN;SIRALI İKİLİ;SABİT GANYAN;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3

4. Kosu :   19.00;Handikap 15/DHÖW /H2; 4 ve Yukarı Araplar; kg; 1900m; Kum;;;;Rekor Derece :2.13.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;AKYEL ABİ KG DB;6y k  a;TURBO;ESİNİM;60;E.AKPINAR AP;H.TARIK DİKENCİK;M.ÖZGÜL;10;%7.17(5)  %7.02(5);58;K2K4K5K2K3K0;5;16;2:14.30
2;ODABAŞI KG DB;5y k  a;YAKUPBEY;ÇILGINDENİZ;60;M.ÇELİK AP;ŞÜKRÜ POLAT;S.POLAT;7;%3.48(6)  %3.63(6);58;K5K7K8K4K9K5;14;14;2:19.31
3;GÜMBÜR ŞAH KG K DB GKR;4y k  a;GÜMBÜRGÜMBÜR;SARIBİRGÜL;55;R.KETME AP;MEHMET ARSLAN;M.ALTIN;2;%11.63(3)  %10.7(3);52;K1K0K6K0K4K3;9;15;2:24.46
4;ERSELEFE KG DB SK;4y k  a;ARASLI;ILIMLI;57,5;O.YILDIZ;KEMAL ALTIN;N.KAYA;6;%3.15(7)  %3.54(7);51;K3K2K6K8K4S0;8;12;2:16.31
5;ŞAHLANTAY KG DB SK;4y a  a;FİRİKYA;PRENSES AMASTRİST;57,5;N.AVCİ;ADNAN KESKİN;T.SÜSLÜ;12 - DS;%35.89(1)  %36.47(1);51;K1K0K3K0K3K2;14;15;
6;TANJU BEY KG DB SK;4y k  a;TAMERİNOĞLU;BEYAZ ALTIN;57,5;A.YILDIZ;M.LEVENT TOPSAKAL;MİR.İPEK;8;%21.09(2)  %21.16(2);51;K7S8K1K3K4K2;14;17;2:21.41
7;SEHERYELİ KG DB SK;6y k k;TAMERİNOĞLU;CANITEZ;52,5;M.T.COŞKUN AP;DURMUŞ ALİ KARALI;F.GARZAN;4;%1.8(8)  %1.94(9);43;K0K0K0K4K7K6;14;12;2:18.78
8;KURUŞUN GÜCÜ KG SK;4y k  a;SERDÜMEN;YILIŞIK;52;O.ATMACA;MUSTAFA ŞİŞMAN;HÜS.KARABULUT;11;%11.37(4)  %10.62(4);40;K2K1K5K6K2Ç5;10;16;2:18.79
9;ÖZ ODİN KG DB SK;4y k  a;ODİNHAN;ÖZBEGÜM;51;R.KURT AP;MUZAFFER TEZER;HÜS.KARABULUT;3;%0.53(12)  %0.54(13);38;S2K4K1K9-K0K0;14;17;
10;DERMANCAN KG DB SK GKR;4y d  a;SERDÜMEN;BERRACAN;52;A.E.ELMAS AP;MURAT KINAY;K.KINAY;1;%0.86(10)  %0.92(10);36;K5K5Ç0S0K0Ç0;10;12;2:16.61
11;BALATÜRK KG K DB;4y k  a;YAŞARCIK;CAVİDANHANIM;52;G.ÖZÇELİK;EMRE ÜNSEVER;Y.TAŞKIN;9;%0.79(11)  %0.77(11);35;K7K1K0K8K0K9;23;16;2:21.99
12;AFŞARBEY KG DB SK;4y k  a;TURBO;İLK KIZ;51;HA.GÖKÇE AP;HAKKI GÜLAL;N.YILDIRIM;5;%1.78(9)  %2.08(8);34;Ç6Ç6K8K4K6K6;14;6;
13;EL FAMİLİA KG;4y k  a;SERDÜMEN;MİNE HANIM;52;U.LEVENT AP;MELİH GÖRGÜN;HAL.YILDIZ;13 - DS;%0.46(13)  %0.62(12);34;K0-K0S7K0S0S0;22;14;
2. 6'LI GANYAN Bu koşudan başlar;4. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;SABİT GANYAN;SABİT İKİLİ;SABİT SIRALI İKİLİ;SABİT İLK 2;SABİT İLK 3;SABİT İLK 4

5. Kosu :   19.30;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.33.64
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;AHSURBİKE DB SKG SK;3y k  d;CANBERKTAY;KUTBİKE;57;T.YILDIZ;SONGÜL ŞİMŞEK;N.KAYA;3;%3.52(6)  %4.08(7);27;S0S9K3K5Ç6;46;15;
2;ASİ KADIN KG K;3y a  d;GÜNTAY;ÇELA;57;Y.E.YÜKSEL AP;HALİL SOYSAL;M.ATAL;10;%10.26(3)  %11.7(3);25;Ç3Ç7Ç4;20;17;
3;ASTAKOS KG K;3y a  d;DİLİRAN;TAHİRE;57;O.YILDIZ;HALİL SOYSAL;M.ATAL;9;%2.17(3)  %2.09(3);;Ç6;66;19;
4;ÇINARALTI KIZI KG K DB;3y k  d;DEMİRTURBO;ZÜLAL;57;A.YILDIZ;TAŞKIN AVCI;A.R.KISMET;11;%5.72(4)  %6.16(4);;S4Ç6;20;18;
5;EZERGELİR;3y a  d;THOR;EZE EZE;53;R.KETME AP;GÖKHAN EZER;MAH.BAYKARA;13;%1.11(10)  %0.97(11);;Ç7Ç0;13;18;
6;İLKBAHARIM KG DB SK GKR;3y a  d;GELİBOLU;BAKHABER;53;Y.Ş.GÜMÜŞ AP;SIRAÇ DEMİR;F.DEMİR;2;%3.41(7)  %4.78(6);28;Ç7Ç8K2K6;7;16;1:41.26
7;KURUDUT DB;3y k  d;KAFKAS ŞAHI;YÜKSEK ATEŞ;55;E.AKPINAR AP;HÜSEYİN YER;K.TURAN;1;%1.39(8)  %1.88(9);15;K8K8K5K4;61;16;
